,Eldorado,HPServ,HPR&D,Dell,DBServer,Datum,TOTVS,ThoughtWorks,Netwall,Toth,CADS,Engeltec,TIVEA,Sequor SW Ind,Rockhead,SOHA,Pandorga,SmartMoney,SmartLife,WGS,SouthSystem,Sevenia,Beyond Domotics
Necessidades_5-6 Impacto em nosso programa de P&D da analise de necessidades sustentáveis dos clientes,2,2,5,2,,3,2,2,2,,2,2,3,,,2,,2,,,5,4,
Necessidades_5-7 Incentivos a clientes e fornecedores que oferecem praticas sustentáveis,2,2,5,2,,3,2,2,2,,2,2,3,,,2,,2,,,5,4,3
Necessidades_6-1 Vendas / Definição de canal,,6,5,2,2,5,,2,6,,,3,5,4,,2,2,4,6,3,4,6,6
Necessidades_6-2 Prospecção / Conhecimento de clientes,,2,5,2,2,5,,2,6,,2,3,6,5,,2,2,4,6,4,4,6,6
Necessidades_6-3 Precificação de serviços e produtos,,2,5,2,2,4,,2,5,,,3,3,4,,2,,3,6,3,,5,6
Necessidades_6-4 Importação,,2,5,2,,5,,2,3,,,3,2,5,2,6,,,,4,,5,5
Necessidades_6-5 Exportação,2,2,5,2,,5,,2,5,,,3,2,5,6,2,2,,,3,4,2,2
Necessidades_6-6 Distribuição,,2,5,2,,5,,2,5,,,3,5,5,,2,,,,4,,2,5
Necessidades_6-6 Relacionamento com fornecedores,,2,5,2,,4,,2,3,,,3,2,5,,5,,5,3,4,4,3,5
Necessidades_6-8 Conhecimento de mercado / concorrentes,,5,5,2,2,5,,2,5,,,3,4,5,5,5,2,4,6,2,4,5,5
Necessidades_6-9 Mercado nicho / tecnologia nicho,,5,5,2,,5,,2,4,,,3,4,5,,2,2,4,4,3,4,3,4
Necessidades_6-10 CRM / ERP,,2,5,2,,3,,,3,,,3,3,4,,,,6,4,4,4,3,
Necessidades_6-11 Traduções,2,2,5,2,,4,,2,4,,2,3,,4,4,2,,2,2,,,,
Necessidades_6-12 Design - Concepção de produto & serviço (Design de user experience),2,2,5,2,5,5,,5,5,,2,3,4,4,,5,2,2,2,,5,2,6
Necessidades_6-13 Design - Imagem / Grafico / Branding,2,2,5,2,2,5,,4,4,,2,4,,4,,5,2,3,2,4,5,3,6
Necessidades_6-14 Marketing (Empresa),,2,5,2,2,5,,4,5,,,4,4,4,2,5,2,4,5,4,5,5,6
Necessidades_6-15 Modelos de negócios,,2,5,2,2,5,,4,4,,,3,3,4,,5,2,3,6,4,5,5,6
